2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
